cicero.brutus,urn:cts:latinLit:phi0474.phi039,,,
cicero.cum_populo_gratias_egit,urn:cts:latinLit:phi0474.phi018,,,
cicero.de_amicitia,urn:cts:latinLit:phi0474.phi052,,,
cicero.de_divinatione,urn:cts:latinLit:phi0474.phi053,,,
cicero.de_domo_sua,urn:cts:latinLit:phi0474.phi020,,,
cicero.de_fato,urn:cts:latinLit:phi0474.phi054,,,
cicero.de_finibus_bonorum_et_malorum,urn:cts:latinLit:phi0474.phi048,,,
cicero.de_haruspicum_responso,urn:cts:latinLit:phi0474.phi021,,,
cicero.de_imperio_cn_pompei,urn:cts:latinLit:phi0474.phi009,,,
cicero.de_inventione,urn:cts:latinLit:phi0474.phi036,,,
cicero.de_lege_agraria_contra_rullum,urn:cts:latinLit:phi0474.phi011,,,
cicero.de_natura_deorum,urn:cts:latinLit:phi0474.phi050,,,
cicero.de_officiis,urn:cts:latinLit:phi0474.phi055,,,
cicero.de_optimo_genere_oratorum,urn:cts:latinLit:phi0474.phi041,,,
cicero.de_oratore,urn:cts:latinLit:phi0474.phi037,,,
cicero.de_partitione_oratoria,urn:cts:latinLit:phi0474.phi038,,,
cicero.de_provinciis_consularibus,urn:cts:latinLit:phi0474.phi025,,,
cicero.de_republica,urn:cts:latinLit:phi0474.phi043,,,
cicero.de_senectute,urn:cts:latinLit:phi0474.phi051,,,
cicero.divinatio_in_c_verrem,urn:cts:latinLit:phi0474.phi005,,,
cicero.divinatio_in_q_caecilium,urn:cts:latinLit:phi0474.phi004,,,
cicero.epistulae_ad_familiares,urn:cts:latinLit:phi0474.phi056,,,
cicero.in_catilinam,urn:cts:latinLit:phi0474.phi013,,,
cicero.in_l_pisonem,urn:cts:latinLit:phi0474.phi027,,,
cicero.in_vatinium,urn:cts:latinLit:phi0474.phi023,,,
cicero.letters_to_atticus,urn:cts:latinLit:phi0474.phi057,,,
cicero.letters_to_brutus,urn:cts:latinLit:phi0474.phi059,,,
cicero.letters_to_quintus,urn:cts:latinLit:phi0474.phi058,,,
cicero.lucullus,urn:cts:latinLit:phi0474.phi046,,,
cicero.orator,urn:cts:latinLit:phi0474.phi040,,,
cicero.paradoxa_stoicorum_ad_m_brutum,urn:cts:latinLit:phi0474.phi047,,,
cicero.philippicae,urn:cts:latinLit:phi0474.phi035,,,
cicero.post_reditum_in_senatu,urn:cts:latinLit:phi0474.phi019,,,
cicero.pro_a_caecina,urn:cts:latinLit:phi0474.phi008,,,
cicero.pro_a_cluentio,urn:cts:latinLit:phi0474.phi010,,,
cicero.pro_archia,urn:cts:latinLit:phi0474.phi016,,,
cicero.pro_balbo,urn:cts:latinLit:phi0474.phi026,,,
cicero.pro_c_rabirio,urn:cts:latinLit:phi0474.phi012,,,
cicero.pro_c_rabirio_postumo,urn:cts:latinLit:phi0474.phi030,,,
cicero.pro_fonteio,urn:cts:latinLit:phi0474.phi007,,,
cicero.pro_l_flacco,urn:cts:latinLit:phi0474.phi017,,,
cicero.pro_ligario,urn:cts:latinLit:phi0474.phi033,,,
cicero.pro_m_caelio,urn:cts:latinLit:phi0474.phi024,,,
cicero.pro_marcello,urn:cts:latinLit:phi0474.phi032,,,
cicero.pro_milone,urn:cts:latinLit:phi0474.phi031,,,
cicero.pro_murena,urn:cts:latinLit:phi0474.phi014,,,
cicero.pro_plancio,urn:cts:latinLit:phi0474.phi028,,,
cicero.pro_publio_quinctio,urn:cts:latinLit:phi0474.phi001,,,
cicero.pro_q_roscio_comoedo,urn:cts:latinLit:phi0474.phi003,,,
cicero.pro_rege_deiotaro,urn:cts:latinLit:phi0474.phi034,,,
cicero.pro_s_roscio,urn:cts:latinLit:phi0474.phi002,,,
cicero.pro_scauro,urn:cts:latinLit:phi0474.phi029,,,
cicero.pro_sestio,urn:cts:latinLit:phi0474.phi022,,,
cicero.pro_sulla,urn:cts:latinLit:phi0474.phi015,,,
cicero.pro_tullio,urn:cts:latinLit:phi0474.phi006,,,
cicero.timaeus,urn:cts:latinLit:phi0474.phi072,,,
cicero.topica,urn:cts:latinLit:phi0474.phi042,,,
cicero.tusculanae_disputationes,urn:cts:latinLit:phi0474.phi049,,,
claudian.carmina_minora,urn:cts:latinLit:stoa0089.stoa001a,,,
claudian.de_bello_gildonico,urn:cts:latinLit:stoa0089.stoa002,,,
claudian.de_bello_gothico,urn:cts:latinLit:stoa0089.stoa003,,,
claudian.de_consulatu_stilichonis,urn:cts:latinLit:stoa0089.stoa004,,,
claudian.de_raptu_proserpinae,urn:cts:latinLit:stoa0089.stoa005,,,
claudian.epithalamium_de_nuptiis_honorii_augusti,urn:cts:latinLit:stoa0089.stoa006,,,
claudian.in_consulatum_olybrii_et_probini,urn:cts:latinLit:stoa0089.stoa014,,,
claudian.in_eutropium,urn:cts:latinLit:stoa0089.stoa008,,,
claudian.in_rufinum,urn:cts:latinLit:stoa0089.stoa009,,,
claudian.panegyricus_de_quarto_consulatu_honorii_augusti,urn:cts:latinLit:stoa0089.stoa011,,,
claudian.panegyricus_de_sexto_consulatu_honorii_augusti,urn:cts:latinLit:stoa0089.stoa012,,,
claudian.panegyricus_de_tertio_consulatu_honorii_augusti,urn:cts:latinLit:stoa0089.stoa010,,,
claudian.panegyricus_dictus_manlio_theodoro_consuli,urn:cts:latinLit:stoa0089.stoa013,,,
claudius_mamertinus.panegyricus,urn:cts:latinLit:stoa0187b.stoa001,,,
columella.de_re_rustica,urn:cts:latinLit:phi0845.phi002,,,
commodian.carmen_apologeticum,urn:cts:latinLit:stoa0096.stoa004,,,
commodian.instructiones,urn:cts:latinLit:stoa0096.stoa003,,,
corippus.johannis,,,,MQDQ
curtius_rufus.historiae_alexandri_magni,urn:cts:latinLit:phi0860.phi001,,,
cyprian.ad_demetrianum,urn:cts:latinLit:stoa0104a.stoa002,,,
cyprian.ad_donatum,urn:cts:latinLit:stoa0104a.stoa001,,,
cyprian.ad_quirinum_aut_testimoniorum_libri_tres_adversus_judaeos,urn:cts:latinLit:stoa0104a.stoa014,,,
cyprian.de_bono_patientiae,urn:cts:latinLit:stoa0104a.stoa003,,,
cyprian.de_catholicae_ecclesiae_unitate,urn:cts:latinLit:stoa0104a.stoa010,,,
cyprian.de_dominica_oratione,urn:cts:latinLit:stoa0104a.stoa015,,,
cyprian.de_habitu_uirginum,urn:cts:latinLit:stoa0104a.stoa004,,,
cyprian.de_lapsis,urn:cts:latinLit:stoa0104a.stoa007,,,
cyprian.de_mortalitate,urn:cts:latinLit:stoa0104a.stoa008,,,
cyprian.de_opere_et_eleemosynis,urn:cts:latinLit:stoa0104a.stoa009,,,
cyprian.de_zelo_et_livore,urn:cts:latinLit:stoa0104a.stoa011,,,
cyprian.epistulae,urn:cts:latinLit:stoa0104a.stoa012,,,
cyprian.fortunatum_aut_de_exhortatione_martyrii,urn:cts:latinLit:stoa0104a.stoa005,,,
cyprian.quod_idola_dii_non_sint,urn:cts:latinLit:stoa0104a.stoa006,,,
cyprian.sententiae_episcoporum_numero_LXXXVII_de_haereticis_baptizandis,urn:cts:latinLit:stoa0104a.stoa013,,,
cyprian_pseudo.ad_flavium_felicem_de_resurrectione_mortuorum,urn:cts:latinLit:stoa0104p.stoa003,,,
cyprian_pseudo.ad_novatianum,urn:cts:latinLit:stoa0104p.stoa001,,,
cyprian_pseudo.ad_senatorem_ex_christiana_religione_ad_idolorum_servitutem_conversum,urn:cts:latinLit:stoa0104p.stoa003,,,
cyprian_pseudo.ad_vigilium_de_iudaica_incredulitate,urn:cts:latinLit:stoa0104p.stoa002,,,
cyprian_pseudo.adversus_iudaeos,urn:cts:latinLit:stoa0104p.stoa020,,,
cyprian_pseudo.de_aleatoribus,urn:cts:latinLit:stoa0104p.stoa018,,,
cyprian_pseudo.de_bono_pudicitiae,urn:cts:latinLit:stoa0104p.stoa005,,,
cyprian_pseudo.de_duodecim_abusivis_saeculi,urn:cts:latinLit:stoa0104p.stoa014,,,
cyprian_pseudo.de_duplici_martyrio,urn:cts:latinLit:stoa0104p.stoa006,,,
cyprian_pseudo.de_iona,urn:cts:latinLit:stoa0104p.stoa003,,,
cyprian_pseudo.de_laude_martyrii,urn:cts:latinLit:stoa0104p.stoa007,,,
cyprian_pseudo.de_montibus_sina_et_sion,urn:cts:latinLit:stoa0104p.stoa008,,,
cyprian_pseudo.de_pascha,urn:cts:latinLit:stoa0104p.stoa003,,,
cyprian_pseudo.de_pascha_computus,urn:cts:latinLit:stoa0104p.stoa009,,,
cyprian_pseudo.de_rebaptismate,urn:cts:latinLit:stoa0104p.stoa010,,,
cyprian_pseudo.de_singularitate_clericorum,urn:cts:latinLit:stoa0104p.stoa011,,,
cyprian_pseudo.de_spectaculis,urn:cts:latinLit:stoa0104p.stoa013,,,
cyprian_pseudo.epistulae,urn:cts:latinLit:stoa0104p.stoa016,,,
cyprian_pseudo.genesis,urn:cts:latinLit:stoa0104p.stoa003,,,
cyprian_pseudo.orationes,urn:cts:latinLit:stoa0104p.stoa019; urn:cts:latinLit:stoa0104p.stoa015,,,
cyprian_pseudo.sodoma,urn:cts:latinLit:stoa0104p.stoa003,,,
cyprianus_gallus.heptateuchos,urn:cts:latinLit:stoa0104c.stoa001,,,
dracontius.de_laudibus_dei,urn:cts:latinLit:stoa0110b.stoa002,,,
dracontius.orestes,,,,MQDQ
dracontius.romulea,urn:cts:latinLit:stoa0110b.stoa001,,,
dracontius.satisfactio,urn:cts:latinLit:stoa0110b.stoa004,,,
ennius.annales,urn:cts:latinLit:phi0043.phi001,,,
ennodius.carmina,urn:cts:latinLit:stoa0114a.stoa003,,,
ennodius.epigrammata,urn:cts:latinLit:stoa0114a.stoa009,,,
ennodius.epistulae,urn:cts:latinLit:stoa0114a.stoa008,,,
eugippius.epistula_ad_probam_virginem,urn:cts:latinLit:stoa0119.stoa002,,,
eugippius.exerpta_ex_operibus_augustini,urn:cts:latinLit:stoa0119.stoa003,,,
eugippius.vita_sancti_severini,urn:cts:latinLit:stoa0119.stoa001,,,
eutropius.breviarium,urn:cts:latinLit:stoa0121.stoa001,,,
evodius.de_fide_contra_manicheos,urn:cts:latinLit:stoa0120d.stoa001,,,
favonius.disputatio_de_somnio_scipionis,,,,digilibLT
florus.epitome_bellorum_omnium_annorum,urn:cts:latinLit:phi1242.phi001,,,
florus.vergilius_orator_an_poeta,urn:cts:latinLit:phi1242.phi002,,,
gellius.attic_nights,urn:cts:latinLit:phi1254.phi001,,,
glass.washingtonii_vita,,,,Supplied by James Gawley
hilary_of_poitiers.fragmenta_historica,urn:cts:latinLit:stoa0149b.stoa002,,,
hilary_of_poitiers.fragmenta_minora,urn:cts:latinLit:stoa0149b.stoa003,,,
hilary_of_poitiers.hymni,urn:cts:latinLit:stoa0149b.stoa004,,,
